site,sample name,lab number,bottom increment (cm),Mid Point Section (cm),bulk density (g/cm^3),%Nitrogen,%Carbon,%Hydrogen,LOI550,LOI950,C density (g/cm^3),Culmulative carbon mass (g/cm^2),Culmulative C mass (areal carbon mass/carbon stock) Kg C/m^2,Peat Accretion Rate averaged across entire core (cm/yr),Average carbon accumulation rate (g/cm^2/yr) ,Average carbon accumulation (g/m^2/yr),Age for Midpoint of section estimated from rBacon model (yrbp),Accretion Rate Obtained using rBacon age-depth model (cmyr-1),Modelled Carbon accumulation rate (gcm-2yr-1),Modelled Carbon Accumulation rate (gm-2yr-1),Carbon Density (gcm-3),OM density (gcm-3)
DB-01,DB-01-02,63,92,91,0.230061359,1.4505,26.406,3.3128,48.29136786,0.00904664,0.060750002,5.674827226,56.74827226,0.008008899,0.000486541,4.865406196,11125.0593,0.007619421,0.00046288,4.628798438,0.055549889,0.111099778
DB-02,DB-02-01,1,4,2,0.073801315,2.5102,39.616,5.0707,81.97842804,0.033231799,0.029237129,0.116948516,1.169485155,0.011865758,0.000346921,3.469206827,89.05107,0.011585301,0.000338721,3.387209385,0.030250579,0.060501158
DB-02,DB-02-01,2,8,6,0.08707962,2.4858,39.717,5.0895,82.41833127,0.032880446,0.034585413,0.255290166,2.552901665,0.011865758,0.000410382,4.103821223,429.08281,0.011714776,0.00040516,4.051603631,0.035884785,0.07176957
DB-02,DB-02-01,3,12,10,0.135617969,2.2474,37.711,4.8218,76.75126904,0.040997313,0.051142892,0.459861736,4.598617361,0.011865758,0.000606849,6.068491617,724.48738,0.012754119,0.000652283,6.522825358,0.052044256,0.104088512
DB-02,DB-02-01,5,16,14,0.148630387,1.7478,38.748,4.8107,76.28370153,0.048923347,0.057591302,0.690226946,6.902269458,0.011865758,0.000683364,6.833644313,1030.28314,0.014002645,0.000806431,8.064305627,0.05669038,0.113380761
DB-02,DB-02-01,6,20,18,0.134685902,1.7739,40.206,4.942,80.03893081,0.051051533,0.054151814,0.906834201,9.06834201,0.011865758,0.000642552,6.425522935,1331.29714,0.012702027,0.000687838,6.878378011,0.053900578,0.107801156
DB-02,DB-02-01,7,24,22,0.128843682,1.577,42.836,5.1273,83.7889958,0.048170989,0.055191479,1.127600119,11.27600119,0.011865758,0.000654889,6.548887135,1630.43055,0.016087192,0.000887876,8.878759261,0.053978413,0.107956827
DB-02,DB-02-01,8,28,26,0.092248356,1.4495,43.949,5.1313,83.82055251,0.049724141,0.04054223,1.289769039,12.89769039,0.011865758,0.000481064,4.810642738,2064.50823,0.008943349,0.000362583,3.625833138,0.038661541,0.077323082
DB-02,DB-02-01,9,32,30,0.117953251,1.4033,43.864,5.0907,83.95556242,0.051454549,0.051739014,1.496725095,14.96725095,0.011865758,0.000613923,6.139225938,2512.1958,0.008344135,0.000431717,4.317173161,0.049514157,0.099028315
DB-02,DB-02-01,10,36,34,0.136308254,1.3812,43.989,5.0478,83.86283668,0.04390008,0.059960638,1.736567646,17.36567646,0.011865758,0.000711478,7.114783923,2987.84103,0.008045465,0.000482411,4.824112139,0.057155984,0.114311969
