site,bottom increment (cm),Mid Point Section (cm),Age for Midpoint of section estimated from rBacon model (yrbp),param,value,param,value,param,value,param,value,param,value,param,value,param,value,param,value,param,value,param,value,param,value,param,value,param,value,param,value,param,value
DB-01,44,42,5710.9301,bulk density (g/cm^3),0.143089847,%Nitrogen,1.8403,%Carbon,39.361,%Hydrogen,4.7816,C density (g/cm^3),0.056321595,Culmulative carbon mass (g/cm^2),2.941858814,Culmulative C mass (areal carbon mass/carbon stock) Kg C/m^13,29.41858814,Peat Accretion Rate averaged across entire core (cm/yr),0.008008899,Average carbon accumulation rate (g/cm^2/yr) ,0.000451074,Average carbon accumulation (g/m^2/yr),4.510739494,Accretion Rate Obtained using rBacon age-depth model (cmyr-1),0.010805838,Modelled Carbon accumulation rate (gcm-2yr-1),0.000608602,Modelled Carbon Accumulation rate (gm-2yr-1),6.086020263,Carbon Density (gcm-3),0.055923295,OM density (gcm-3),0.11184659
DB-01,48,46,6067.1777,bulk density (g/cm^3),0.17544485,%Nitrogen,1.9282,%Carbon,40.904,%Hydrogen,4.6033,C density (g/cm^3),0.071763962,Culmulative carbon mass (g/cm^2),3.085386737,Culmulative C mass (areal carbon mass/carbon stock) Kg C/m^14,30.85386737,Peat Accretion Rate averaged across entire core (cm/yr),0.008008899,Average carbon accumulation rate (g/cm^2/yr) ,0.00057475,Average carbon accumulation (g/m^2/yr),5.747503038,Accretion Rate Obtained using rBacon age-depth model (cmyr-1),0.010886735,Modelled Carbon accumulation rate (gcm-2yr-1),0.000781275,Modelled Carbon Accumulation rate (gm-2yr-1),7.812752319,Carbon Density (gcm-3),0.067971839,OM density (gcm-3),0.135943678
DB-01,50,49,6341.597,bulk density (g/cm^3),0.127627222,%Nitrogen,1.8115,%Carbon,40.982,%Hydrogen,4.8087,C density (g/cm^3),0.052304188,Culmulative carbon mass (g/cm^2),3.294603489,Culmulative C mass (areal carbon mass/carbon stock) Kg C/m^15,32.94603489,Peat Accretion Rate averaged across entire core (cm/yr),0.008008899,Average carbon accumulation rate (g/cm^2/yr) ,0.000418899,Average carbon accumulation (g/m^2/yr),4.188989476,Accretion Rate Obtained using rBacon age-depth model (cmyr-1),0.010765224,Modelled Carbon accumulation rate (gcm-2yr-1),0.000563066,Modelled Carbon Accumulation rate (gm-2yr-1),5.630663004,Carbon Density (gcm-3),0.051093967,OM density (gcm-3),0.102187934
DB-01,54,52,6615.5453,bulk density (g/cm^3),0.125574872,%Nitrogen,1.836,%Carbon,41.875,%Hydrogen,4.9208,C density (g/cm^3),0.052584478,Culmulative carbon mass (g/cm^2),3.5049414,Culmulative C mass (areal carbon mass/carbon stock) Kg C/m^16,35.049414,Peat Accretion Rate averaged across entire core (cm/yr),0.008008899,Average carbon accumulation rate (g/cm^2/yr) ,0.000421144,Average carbon accumulation (g/m^2/yr),4.211437593,Accretion Rate Obtained using rBacon age-depth model (cmyr-1),0.010421593,Modelled Carbon accumulation rate (gcm-2yr-1),0.000548014,Modelled Carbon Accumulation rate (gm-2yr-1),5.480140249,Carbon Density (gcm-3),0.050207967,OM density (gcm-3),0.100415934
DB-01,58,56,6992.5392,bulk density (g/cm^3),0.153479182,%Nitrogen,1.9336,%Carbon,39.479,%Hydrogen,4.639,C density (g/cm^3),0.060592046,Culmulative carbon mass (g/cm^2),3.747309585,Culmulative C mass (areal carbon mass/carbon stock) Kg C/m^17,37.47309585,Peat Accretion Rate averaged across entire core (cm/yr),0.008008899,Average carbon accumulation rate (g/cm^2/yr) ,0.000485276,Average carbon accumulation (g/m^2/yr),4.852755648,Accretion Rate Obtained using rBacon age-depth model (cmyr-1),0.010074661,Modelled Carbon accumulation rate (gcm-2yr-1),0.000610444,Modelled Carbon Accumulation rate (gm-2yr-1),6.104443249,Carbon Density (gcm-3),0.057850165,OM density (gcm-3),0.11570033
DB-01,62,60,7377.0923,bulk density (g/cm^3),0.123869248,%Nitrogen,1.5892,%Carbon,41.226,%Hydrogen,4.8821,C density (g/cm^3),0.051066336,Culmulative carbon mass (g/cm^2),3.951574929,Culmulative C mass (areal carbon mass/carbon stock) Kg C/m^18,39.51574929,Peat Accretion Rate averaged across entire core (cm/yr),0.008008899,Average carbon accumulation rate (g/cm^2/yr) ,0.000408985,Average carbon accumulation (g/m^2/yr),4.089851161,Accretion Rate Obtained using rBacon age-depth model (cmyr-1),0.010589733,Modelled Carbon accumulation rate (gcm-2yr-1),0.000540779,Modelled Carbon Accumulation rate (gm-2yr-1),5.407788638,Carbon Density (gcm-3),0.048019017,OM density (gcm-3),0.096038034
DB-01,66,64,7730.8,bulk density (g/cm^3),0.131464573,%Nitrogen,1.9456,%Carbon,41.56,%Hydrogen,4.9106,C density (g/cm^3),0.054636676,Culmulative carbon mass (g/cm^2),4.170121635,Culmulative C mass (areal carbon mass/carbon stock) Kg C/m^19,41.70121635,Peat Accretion Rate averaged across entire core (cm/yr),0.008008899,Average carbon accumulation rate (g/cm^2/yr) ,0.00043758,Average carbon accumulation (g/m^2/yr),4.375796108,Accretion Rate Obtained using rBacon age-depth model (cmyr-1),0.010676039,Modelled Carbon accumulation rate (gcm-2yr-1),0.000583303,Modelled Carbon Accumulation rate (gm-2yr-1),5.833032881,Carbon Density (gcm-3),0.05165128,OM density (gcm-3),0.10330256
DB-01,70,68,8111.3858,bulk density (g/cm^3),0.111217677,%Nitrogen,2.034,%Carbon,43.411,%Hydrogen,5.1885,C density (g/cm^3),0.048280706,Culmulative carbon mass (g/cm^2),4.363244458,Culmulative C mass (areal carbon mass/carbon stock) Kg C/m^20,43.63244458,Peat Accretion Rate averaged across entire core (cm/yr),0.008008899,Average carbon accumulation rate (g/cm^2/yr) ,0.000386675,Average carbon accumulation (g/m^2/yr),3.866752858,Accretion Rate Obtained using rBacon age-depth model (cmyr-1),0.009976974,Modelled Carbon accumulation rate (gcm-2yr-1),0.000481695,Modelled Carbon Accumulation rate (gm-2yr-1),4.816953467,Carbon Density (gcm-3),0.046208053,OM density (gcm-3),0.092416106
DB-01,74,72,8508.383,bulk density (g/cm^3),0.11220672,%Nitrogen,2.2557,%Carbon,43.718,%Hydrogen,5.2152,C density (g/cm^3),0.049054534,Culmulative carbon mass (g/cm^2),4.559462594,Culmulative C mass (areal carbon mass/carbon stock) Kg C/m^21,45.59462594,Peat Accretion Rate averaged across entire core (cm/yr),0.008008899,Average carbon accumulation rate (g/cm^2/yr) ,0.000392873,Average carbon accumulation (g/m^2/yr),3.928727969,Accretion Rate Obtained using rBacon age-depth model (cmyr-1),0.010395557,Modelled Carbon accumulation rate (gcm-2yr-1),0.000509949,Modelled Carbon Accumulation rate (gm-2yr-1),5.099492038,Carbon Density (gcm-3),0.044200969,OM density (gcm-3),0.088401938
DB-01,78,76,8867.2947,bulk density (g/cm^3),0.157058437,%Nitrogen,2.3767,%Carbon,39.619,%Hydrogen,4.8522,C density (g/cm^3),0.062224982,Culmulative carbon mass (g/cm^2),4.808362522,Culmulative C mass (areal carbon mass/carbon stock) Kg C/m^22,48.08362522,Peat Accretion Rate averaged across entire core (cm/yr),0.008008899,Average carbon accumulation rate (g/cm^2/yr) ,0.000498354,Average carbon accumulation (g/m^2/yr),4.983535829,Accretion Rate Obtained using rBacon age-depth model (cmyr-1),0.011076642,Modelled Carbon accumulation rate (gcm-2yr-1),0.000689244,Modelled Carbon Accumulation rate (gm-2yr-1),6.8924385,Carbon Density (gcm-3),0.059504696,OM density (gcm-3),0.119009392
